"gene","int","cnt"
"0610012G03RIK","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"1810009A15RIK","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"2210409E12RIK","C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"2410015M20RIK","C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"4933434E20RIK","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"5730455P16RIK","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"A530032D15RIK","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"AA623943","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)",3
"AAMDC","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"AC124237.1","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"AIMP2","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"AKAP8","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"ALPK2","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ALS2","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ANAPC15","C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",4
"ANKLE2","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|ICR clean (N=1)",3
"AP1S1","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"AP4S1","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)",3
"APEX1","C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"APOE","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)",3
"APRT","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|ICR clean (N=1)",4
"ARCN1","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",4
"ARFRP1","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ARHGEF40","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ARIH2","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"ARL3","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"ARSK","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"ASB6","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ASNA1","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)",3
"ATG13","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"ATOX1","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATP5G1","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"ATP5H","C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ATP5K","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)",3
"ATP5O","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"ATPIF1","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATRAID","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATRIP","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"AURKAIP1","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"AVPI1","C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|ICR clean (N=1)",3
"B4GALT3","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"BAG1","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",4
"BCAT2","C57BL/6 clean (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",3
"BCL2L11","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|ICR clean (N=1)",4
"BLOC1S2","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"BOLA1","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|ICR clean (N=1)",4
"BRMS1","C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"BRMS1L","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"BTBD7","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"BUD31","C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"C1D","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|ICR clean (N=1)",4
"CAAA01141682.1","C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CACYBP","C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",4
"CALM2","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"CBX3","C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|ICR clean (N=1)",3
"CCDC36","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CCNB1IP1","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)",3
"CCNE1","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CD9","B6D2F1 clean (N=1)|C57BL/6 clean (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
