"Gene_id","Intersection_category","Intersection_count"
"0610010F05RIK","B6D2F1 pure (N=1)",1
"0610012G03RIK","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"1110004F10RIK","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2
"1190002N15RIK","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"1500011B03RIK","B6D2F1 pure (N=1)",1
"1700021F05RIK","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"1700084M14RIK","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"1810009A15RIK","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"1810022K09RIK","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"1810037I17RIK","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"2210016L21RIK","B6D2F1 pure (N=1)",1
"2310057M21RIK","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"2410004B18RIK","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"2610001J05RIK","B6D2F1 pure (N=1)",1
"2610005L07RIK","B6D2F1 pure (N=1)",1
"2610044O15RIK8","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"2700062C07RIK","B6D2F1 pure (N=1)",1
"2700097O09RIK","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"2700099C18RIK","B6D2F1 pure (N=1)",1
"2810004N23RIK","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"2810006K23RIK","B6D2F1 pure (N=1)",1
"2810025M15RIK","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"3830406C13RIK","B6D2F1 pure (N=1)",1
"4930453N24RIK","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"4930503L19RIK","B6D2F1 pure (N=1)",1
"4930522L14RIK","B6D2F1 pure (N=1)",1
"4930548H24RIK","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"4931406C07RIK","B6D2F1 pure (N=1)",1
"4931428L18RIK","B6D2F1 pure (N=1)",1
"4933434E20RIK","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"5730455P16RIK","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"6030458C11RIK","B6D2F1 pure (N=1)",1
"6820431F20RIK","B6D2F1 pure (N=1)",1
"7420426K07RIK","B6D2F1 pure (N=1)",1
"8030462N17RIK","B6D2F1 pure (N=1)",1
"9130409I23RIK","B6D2F1 pure (N=1)",1
"9430038I01RIK","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"9530068E07RIK","B6D2F1 pure (N=1)",1
"9930104L06RIK","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"A530032D15RIK","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"A630095E13RIK","B6D2F1 pure (N=1)",1
"A830018L16RIK","B6D2F1 pure (N=1)",1
"AA623943","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"AA792892","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"AADAC","B6D2F1 pure (N=1)",1
"AAED1","B6D2F1 pure (N=1)",1
"AAMDC","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"AASDH","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2
"ABCB1B","B6D2F1 pure (N=1)",1
"ABCB7","B6D2F1 pure (N=1)",1
"ABCE1","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ABCF3","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
