"Intersection_category","Intersection_count","Gene_name","Gene_id"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"0610012G03Rik","ENSMUSG00000107002"
"C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"1110038F14Rik","ENSMUSG00000063236"
"C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"1600012H06Rik","ENSMUSG00000050088"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"1700021F05Rik","ENSMUSG00000019797"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"1700084M14Rik","ENSMUSG00000057805"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"1810009A15Rik","ENSMUSG00000071653"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"1810022K09Rik","ENSMUSG00000078784"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"2210016F16Rik","ENSMUSG00000021550"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"2210409E12Rik","ENSMUSG00000081766"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"2410015M20Rik","ENSMUSG00000049760"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"2610044O15Rik8","ENSMUSG00000071302"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"2700097O09Rik","ENSMUSG00000062198"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"4930548H24Rik","ENSMUSG00000029138"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"5730455P16Rik","ENSMUSG00000057181"
"B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"9930104L06Rik","ENSMUSG00000044730"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"A530032D15Rik","ENSMUSG00000089844"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"AA623943","ENSMUSG00000081478"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Aamdc","ENSMUSG00000035642"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Abhd6","ENSMUSG00000025277"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Abt1","ENSMUSG00000036376"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"AC124237.1","ENSMUSG00000117001"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"AC132444.1","ENSMUSG00000079222"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"AC133103.1","ENSMUSG00000079190"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"AC168977.1","ENSMUSG00000079808"
