"Intersection_category","Intersection_count","Gene_name","Gene_id"
"ZGA genes",1,"1700021F05Rik","ENSMUSG00000019797"
"ZGA genes",1,"AA623943","ENSMUSG00000081478"
"ZGA genes",1,"AC124237.1","ENSMUSG00000117001"
"ZGA genes",1,"AC168977.1","ENSMUSG00000079808"
"ZGA genes",1,"Alpk2","ENSMUSG00000032845"
"ZGA genes",1,"Arl3","ENSMUSG00000025035"
"ZGA genes",1,"Arsk","ENSMUSG00000021592"
"ZGA genes",1,"Atraid","ENSMUSG00000013622"
"ZGA genes",1,"B4galt3","ENSMUSG00000052423"
"ZGA genes",1,"BC147527","ENSMUSG00000094796"
"ZGA genes",1,"Cacybp","ENSMUSG00000014226"
"ZGA genes",1,"Cdkn2d","ENSMUSG00000096472"
"ZGA genes",1,"Cenpw","ENSMUSG00000075266"
"ZGA genes",1,"Churc1","ENSMUSG00000090258"
"ZGA genes",1,"Cox14","ENSMUSG00000023020"
"ZGA genes",1,"Cox7b","ENSMUSG00000031231"
"ZGA genes",1,"Cstb","ENSMUSG00000005054"
"ZGA genes",1,"Dcdc2c","ENSMUSG00000020633"
"ZGA genes",1,"Ddt","ENSMUSG00000001666"
"ZGA genes",1,"Gm10717","ENSMUSG00000095891"
"ZGA genes",1,"Gm10718","ENSMUSG00000095186"
"ZGA genes",1,"Gm10719","ENSMUSG00000095547"
"ZGA genes",1,"Gm10800","ENSMUSG00000075014"
"ZGA genes",1,"Gm10801","ENSMUSG00000075015"
"ZGA genes",1,"Gm11237","ENSMUSG00000094116"
"ZGA genes",1,"Gm11239","ENSMUSG00000095048"
"ZGA genes",1,"Gm11758","ENSMUSG00000096530"
"ZGA genes",1,"Gm16427","ENSMUSG00000096044"
"ZGA genes",1,"Gm21762","ENSMUSG00000094027"
"ZGA genes",1,"Gm21818","ENSMUSG00000095653"
"ZGA genes",1,"Gm29761","ENSMUSG00000110761"
"ZGA genes",1,"Gm47924","ENSMUSG00000112101"
"ZGA genes",1,"Gm5039","ENSMUSG00000093847"
"ZGA genes",1,"Gm5286","ENSMUSG00000090268"
"ZGA genes",1,"Gm9973","ENSMUSG00000113175"
"ZGA genes",1,"Gon7","ENSMUSG00000091931"
"ZGA genes",1,"Gpx1","ENSMUSG00000063856"
"ZGA genes",1,"H2afj","ENSMUSG00000060032"
"ZGA genes",1,"H2afv","ENSMUSG00000041126"
"ZGA genes",1,"H2afz","ENSMUSG00000037894"
"ZGA genes",1,"Hmgn5","ENSMUSG00000031245"
"ZGA genes",1,"Hspb1","ENSMUSG00000004951"
"ZGA genes",1,"Klf12","ENSMUSG00000072294"
"ZGA genes",1,"Lztr1","ENSMUSG00000022761"
"ZGA genes",1,"Mfsd11","ENSMUSG00000020818"
"ZGA genes",1,"Mpv17","ENSMUSG00000107283"
"ZGA genes",1,"mt-Atp6","ENSMUSG00000064357"
"ZGA genes",1,"mt-Atp8","ENSMUSG00000064356"
"ZGA genes",1,"mt-Co1","ENSMUSG00000064351"
"ZGA genes",1,"mt-Co2","ENSMUSG00000064354"
"ZGA genes",1,"mt-Co3","ENSMUSG00000064358"
"ZGA genes",1,"mt-Cytb","ENSMUSG00000064370"
"ZGA genes",1,"mt-Nd1","ENSMUSG00000064341"
"ZGA genes",1,"mt-Nd2","ENSMUSG00000064345"
"ZGA genes",1,"mt-Nd3","ENSMUSG00000064360"
"ZGA genes",1,"mt-Nd4","ENSMUSG00000064363"
"ZGA genes",1,"mt-Nd4l","ENSMUSG00000065947"
"ZGA genes",1,"mt-Nd5","ENSMUSG00000064367"
"ZGA genes",1,"mt-Nd6","ENSMUSG00000064368"
"ZGA genes",1,"Naa38","ENSMUSG00000059278"
"ZGA genes",1,"Nav1","ENSMUSG00000009418"
"ZGA genes",1,"Noa1","ENSMUSG00000036285"
"ZGA genes",1,"Nudcd2","ENSMUSG00000020328"
"ZGA genes",1,"Platr17","ENSMUSG00000092349"
"ZGA genes",1,"Prl8a1","ENSMUSG00000019756"
"ZGA genes",1,"Prorsd1","ENSMUSG00000032673"
"ZGA genes",1,"Prr23a1","ENSMUSG00000091080"
"ZGA genes",1,"Psg16","ENSMUSG00000066760"
"ZGA genes",1,"Relch","ENSMUSG00000026319"
"ZGA genes",1,"Rpl13a","ENSMUSG00000074129"
"ZGA genes",1,"Rpl18","ENSMUSG00000059070"
"ZGA genes",1,"Rpl8","ENSMUSG00000003970"
"ZGA genes",1,"Rps12","ENSMUSG00000061983"
"ZGA genes",1,"Rsf1","ENSMUSG00000035623"
"ZGA genes",1,"Sirt1","ENSMUSG00000020063"
"ZGA genes",1,"Slc38a6","ENSMUSG00000044712"
"ZGA genes",1,"Snx5","ENSMUSG00000027423"
"ZGA genes",1,"Sp140","ENSMUSG00000070031"
"ZGA genes",1,"Tbrg4","ENSMUSG00000000384"
"ZGA genes",1,"Tmem72","ENSMUSG00000048108"
"ZGA genes",1,"Uqcrq","ENSMUSG00000044894"
"ZGA genes",1,"Usmg5","ENSMUSG00000071528"
"ZGA genes",1,"Zbtb8os","ENSMUSG00000057572"
