gene_id;log2FoldChange;padj
Pramel7;11.2297735989185;8.5935477773018e-21
Ctsz;11.0094490357244;5.49614928672807e-20
Guca1a;11.1208882651999;4.21174127630263e-31
Npl;10.1977480225313;1.5329623218797e-23
Fam212a;9.64539326997686;5.54525127661016e-10
Wdr77;8.77132206411995;2.83293411229901e-08
Kdm4c;11.6136704308949;1.0289157554646e-06
Zfp622;11.7003527859041;7.20297790119257e-14
Folr1;10.7078537119664;8.95168972753181e-18
Pramel6;10.0861978324902;2.13200263404646e-29
Ifi35;11.5950211716657;2.11537170612549e-27
Gm12789;11.4865694083818;1.24390288097709e-11
Timd2;11.0410941460292;2.19251884883335e-13
B020004C17Rik;10.498848821686;1.43780393419861e-13
Plcd4;10.838913378868;1.22517604622623e-11
Pin1;6.56467186131642;1.12924480173586e-05
Trim43a;8.4709655806773;1.30873659922877e-17
Btbd18;12.2069582587741;1.29621543064304e-14
Lck;10.806091215015;5.10331569825336e-11
Scd1;6.66579077896604;4.56384611854297e-07
Bex6;10.5995441590882;3.07918531191489e-16
Actn2;5.98530873945767;1.19445272745999e-05
2610318N02Rik;6.66928113406793;1.33378042550335e-06
Timm22;6.7843657617004;0.0155508725120272
Tnfrsf12a;9.74101413234634;0.00139701762640933
C2cd4b;0;NA
Mcts2;12.3749198862466;1.11948898603672e-18
Calcoco2;7.70435835500834;5.94511573226031e-05
Syap1;4.94271463899144;0.00064971231472916
Mdn1;11.9744319042513;4.74172047763944e-07
Rab39;0;NA
Tnfaip8l2;9.97460694774872;0.0106179152695841
Tdpoz1;10.287181879342;0.00149876474564556
Tdpoz2;0;NA
Tmed6;11.1298474017604;1.5575170092e-31
Rpl10l;8.83313272196949;2.09537913303515e-05
1700013H16Rik;10.1704960595408;2.11358199244291e-07
Pdxk;10.1717464719404;4.93820549687413e-30
Snrnp35;11.323464878059;4.00542362492825e-05
Pramel5;9.89206344522126;1.76282745334847e-06
Gm9376;0;NA
Spdya;7.56148077516509;0.00112606418489682
Stk16;10.3883846376124;1.28767569645724e-06
Ddx26b;9.08357785469419;4.07048341172571e-07
Pitpnc1;10.7182132431915;2.02692232347276e-08
Vhl;0;NA
Hsd17b6;0;NA
Cst7;11.3974652824982;1.1476168616314e-17
Apom;11.6390284052457;1.76203177135133e-11
Rgs11;10.4392901630004;0.000149831527911061
Pkn3;12.3209447330774;5.73625830341654e-10
Mfsd7c;10.0602759183748;1.05921346447848e-05
Ctsc;10.7797737266777;7.43313706494207e-14
Creld1;3.21239548671887;0.489245276866467
Ugt2b36;0;NA
Hars2;10.3376015272249;5.50543622466997e-07
C130074G19Rik;4.39794602216992;0.269024202423452
Psme1;11.7296753445558;4.68373555884205e-17
Nop16;9.58218762542826;1.20414885332281e-15
Cldn6;8.79777156590111;0.0458936843480085
Uap1l1;0;NA
Gata1;10.3038377073444;0.000590137476839765
Obox6;11.539730997393;1.17333076521927e-42
Ccdc137;11.2435978959876;0.000127000660205528
Klhl10;9.20197418435285;7.0660871021318e-08
Impdh1;0;NA
Pgam2;11.3792116520227;3.23304845304547e-19
Fv1;4.99322236063971;0.090698101073094
Lemd3;8.21583413155302;0.0953369409145876
Fgf4;11.6535410222261;7.48202937410884e-14
Gm5635;11.951391982095;2.42834952500908e-07
Yars;11.7777147309666;7.0116579671085e-06
Rpl3l;10.6657361120557;1.78090398844728e-08
Ubtfl1;12.2924092909236;1.46956979673914e-11
March9;0;0.019174569842782
Fcgrt;4.0553230303171;0.0694149939375479
2510002D24Rik;0;NA
Mta2;0;NA
Idi2;0;NA
Slc27a5;10.6443800015437;0.0268672671495233
Lst1;13.0817795360316;4.56139837628989e-09
Gm2016;10.7413242201268;7.44760706623492e-05
Eid2;5.19495803805218;0.0954318528898037
Sgk3;6.24064516323196;5.84981901103882e-09
C1qtnf4;5.80459235740824;0.000168605861142208
Fthl17;8.08176139176191;0.0925301213005731
Asb6;0;NA
Amhr2;10.329081934973;0.00403393237950991
Spesp1;0;NA
Fcgr3;11.7127025884342;1.75080553758503e-32
1600002K03Rik;9.86340987602449;1.65410758347302e-23
Chrna10;9.97600820422284;1.41955650236271e-05
Prps1;9.07943030343791;4.00573109151108e-27
Vimp;11.4033008601841;8.52292780310148e-30
Kpna1;10.1982830335936;2.01014238556606e-16
Cited1;10.9714959497511;1.36304554652188e-35
Nlrp12;10.1227115801806;6.77090248174038e-06
Aim1l;12.2896646224776;4.29207893357549e-07
Jade3;9.73293592480143;0.000251731814739505
Stk17b;8.88036047335447;0.0692964815980243
Gba;0;NA
Rtn2;7.36068540012655;0.139002949043281
Gm2a;12.4432966154583;6.19399165344171e-13
Nup62cl;11.978304812691;3.70927924446275e-10
Apoa5;0;NA
Ccdc125;0;NA
Agmat;11.1276615254238;1.33319393041442e-11
Prmt6;10.8893625030458;9.70895557328024e-05
Mvk;0;NA
Wrap53;0;NA
Cfap126;9.55072390293123;3.35363696620114e-13
Gpr161;8.56009180349039;0.0812210281481661
Pramel4;11.0397498847086;1.97307040561786e-05
L3hypdh;9.51883144885534;0.000158735620491541
Spns1;3.72931301765509;0.193633682312248
Gfod2;11.4468975064186;1.78497344173843e-06
Adat3;0;NA
Aldoc;0;NA
Cstb;6.54772013215834;1.71525022915689e-10
Tbxa2r;0;NA
Tsga8;9.68483498852922;0.00115836901241543
Slc22a20;5.6461335224796;0.0137978696825256
Nxf2;10.4819225393755;2.01431823043576e-09
Tmem79;10.5468100365257;0.000104078365198889
Cd63;11.1103841199827;3.08918040938468e-16
Adnp;10.0962912047827;1.71246932549678e-07
Nr1h3;0;1.44710405657972e-05
Ripk3;11.101444573293;5.55285996233979e-05
Abhd14b;0;NA
Hcrt;9.94729235184606;2.88210381736351e-05
Tef;0;NA
Bcl2l14;13.0177198052362;1.12132468263169e-16
Ltbp3;10.2302581444252;6.05813680095713e-07
Kri1;0;NA
1700061G19Rik;10.6482490222952;0.000412950054621937
BC028528;6.93303558583835;0.00103090360525979
Dyrk4;6.18839254616392;0.0159987939324505
Rab34;5.13574866134932;0.0191294641534145
Crip1;4.41121485871381;0.0548945953965097
Dlg3;10.5976351959081;0.000958967136340361
Micall1;9.54505042202858;0.00180071575109015
Kifc2;4.54712505063677;0.271649079471445
Ajuba;10.6084270342093;1.9264232677954e-09
Ifitm1;5.36443714275928;0.0102664921598071
Defb42;11.3665340303541;1.27449376037019e-06
Apoc2;0;NA
Grin2d;0;NA
Muc13;7.36660233476734;0.000249131649131399
Art3;0;NA
Rsph9;0.355676743213016;0.943341108178464
Cuedc2;3.92439746313387;0.377505954480625
Uty;11.0625937949562;0.0209426365550841
L1td1;11.4435013605891;1.38147713312191e-06
Lamc3;0;NA
Aicda;11.6116062093611;2.68771656554271e-06
Eif2s3y;0;NA
Frrs1;0;NA
Tnip2;0;NA
Cd74;9.63031106560153;2.6552425107168e-07
Upk3a;10.6713296510601;7.95076374393862e-07
Cxcl16;8.95959101438866;0.0633243074969829
Icam1;9.59539422196286;0.00391220783663766
Eml3;0;NA
Trp53bp2;0;NA
Gabpa;11.1047468606131;3.62478141276667e-09
Rabep2;0;NA
Slc13a2;8.94424405867489;0.0671622478643031
Gm9125;8.71630440622493;0.0374620750406564
1700013G24Rik;0;NA
Ppat;8.6848504255112;1.50012522585301e-07
Gm21319;2.95511780493316;0.329500758686716
Duoxa2;10.7687726599373;0.000188427207648085
Rps27;10.4769702174831;8.59279268890094e-05
Slc4a11;10.2657841716226;0.000852243717058298
Tcirg1;0;NA
Kat2b;3.91187419087704;0.257076407514845
Gm7534;0;NA
B4galt7;0;NA
Gm16367;9.76984526843014;0.0047876255781158
Slc51a;12.0908869276951;1.33225067804235e-10
Ly6g5b;0;NA
2410016O06Rik;9.78123963714302;0.004185051890302
Lrrc15;0;NA
Nppc;4.23442717798332;0.00243169178550638
Cypt3;0;NA
Lbhd1;9.2844620600903;8.41141110530138e-07
Tbc1d12;5.90889919767057;0.0615526411299556
Rfpl4b;10.5767965537891;2.99213878030867e-12
Tbc1d9;0;0.977073258797501
3830417A13Rik;0;NA
Irf7;0;NA
Spic;11.3040980697385;1.56415730421775e-14
Rab30;0;NA
Ctrb1;10.6578135021039;2.31615619478094e-14
Lta;0;NA
Timp1;10.7019809073768;1.10251134237103e-12
Tmem173;0;NA
Acad8;0;NA
Acss2;6.14511264855989;0.00745181932087237
Kank3;11.3354576872529;0.00199204542523954
Rab20;11.1765967859609;2.19175642530614e-07
Oxsr1;7.4232422486668;0.0333018229077734
Pi4k2b;9.60896242973501;0.0479316322079398
Aacs;0;NA
Sec1;9.28516428236689;0.000714828921075031
Rhbdl3;4.7864914146611;0.0365307985136763
Nanos3;7.37099739169497;0.134337941085604
Zfy2;0;NA
Zbed6;0;NA
Igfbp2;9.15264153472342;0.0289613638772099
