"","x"
"1","1110002N22RIK"
"2","1110005A03RIK"
"3","1700019M22RIK"
"4","2210409E12RIK"
"5","2310040G24RIK"
"6","2610206C17RIK"
"7","3830417A13RIK"
"8","4930451C15RIK"
"9","4933402E13RIK"
"10","4933408B17RIK"
"11","5830403L16RIK"
"12","9630033F20RIK"
"13","AA415398"
"14","ABO"
"15","ALOX12"
"16","ALPL"
"17","ALPPL2"
"18","ALYREF2"
"19","ANKRD35"
"20","APON"
"21","ARG2"
"22","ARID5A"
"23","ARID5B"
"24","ARRDC1"
"25","ARRDC2"
"26","AU015228"
"27","AW209491"
"28","B020004C17RIK"
"29","B020004J07RIK"
"30","BC049762"
"31","BC051628"
"32","BC080695"
"33","BOLA1"
"34","BTBD19"
"35","C1S"
"36","C330005M16RIK"
"37","CALCOCO2"
"38","CARD6"
"39","CCDC107"
"40","CCNJL"
"41","CCT3"
"42","CD247"
"43","CD59B"
"44","CDC20"
"45","CDC42EP2"
"46","CDCA5"
"47","CENPM"
"48","COQ4"
"49","CRXOS1"
"50","CSF3R"
"51","CST7"
"52","CST9"
"53","CSTF1"
"54","CTNNBL1"
"55","CTRB1"
"56","CWC22"
"57","CYB5R2"
"58","CYBASC3"
"59","D5ERTD605E"
"60","DDX39"
"61","DDX54"
"62","DEFB22"
"63","DNAJB13"
"64","DNER"
"65","DNPEP"
"66","ECM2"
"67","EID2"
"68","ELF3"
"69","EPCAM"
"70","ESP24"
"71","EXOSC5"
"72","FAHD1"
"73","FAM43B"
"74","FAM58B"
"75","FBXO6"
"76","FICD"
"77","FKBP4"
"78","FLYWCH2"
"79","FOXI3"
"80","FOXR1"
"81","FUNDC1"
"82","GABPA"
"83","GCNT2"
"84","GGT6"
"85","GLUL"
"86","GM11487"
"87","GM11517"
"88","GM11544"
"89","GM11756"
"90","GM12794"
"91","GM13083"
"92","GM13102"
"93","GM13109"
"94","GM13128"
"95","GM16381"
"96","GM1995"
"97","GM2022"
"98","GM3139"
"99","GM428"
"100","GM4827"
"101","GM4850"
"102","GM4971"
"103","GM4981"
"104","GM5"
"105","GM5077"
"106","GM5127"
"107","GM7534"
"108","GM8300"
"109","GM853"
"110","GM8994"
"111","GM9125"
"112","GM9376"
"113","GPR161"
"114","GSDMD"
"115","HEXB"
"116","IL12A"
"117","IMP3"
"118","ITGB1BP1"
"119","KCNE3"
"120","KDELC2"
"121","KIF20A"
"122","KLF3"
"123","KRT28"
"124","LAMC3"
"125","LPAR6"
"126","METTL11A"
"127","MGST3"
"128","MMP19"
"129","MOCS3"
"130","MUC13"
"131","NHP2"
"132","NLRP12"
"133","NMNAT1"
"134","NR5A2"
"135","NSUN7"
"136","NTN5"
"137","OLFR376"
"138","OLFR450"
"139","OLFR787"
"140","OLFR815"
"141","OLFR824"
"142","ORAI1"
"143","OXA1L"
"144","P4HA2"
"145","PAF1"
"146","PCK2"
"147","PCP4L1"
"148","PEMT"
"149","PI15"
"150","PIH1D1"
"151","PIN1-PS1"
"152","PLCD4"
"153","PNLIP"
"154","PNP"
"155","POLR1E"
"156","PPAP2B"
"157","PPP1R3G"
"158","PQLC2"
"159","PRAMEL4"
"160","PRAMEL5"
"161","PRAMEL6"
"162","PSMB5"
"163","PSME2"
"164","PTDSS2"
"165","PTPN1"
"166","PUS1"
"167","PWP1"
"168","RAB39"
"169","RCBTB2"
"170","RCN3"
"171","RD3"
"172","RDH12"
"173","RFPL4B"
"174","RPUSD3"
"175","SCD1"
"176","SCO1"
"177","SEZ6L"
"178","SFI1"
"179","SGSH"
"180","SH2D3C"
"181","SHMT1"
"182","SLC13A2"
"183","SLC22A28"
"184","SLC25A33"
"185","SLC25A35"
"186","SLC34A2"
"187","SNAPC1"
"188","SNRNP35"
"189","SOWAHA"
"190","SPIC"
"191","SPIN2"
"192","SRL"
"193","SUSD1"
"194","SYNPR"
"195","TACR3"
"196","TBCC"
"197","TDH"
"198","TDPOZ1"
"199","TDPOZ5"
"200","TEAD4"
"201","TFPI"
"202","THEG"
"203","TMEM205"
"204","TMEM79"
"205","TMEM92"
"206","TNFAIP8L2"
"207","TRAP1"
"208","TRIM43C"
"209","TRUB2"
"210","UBE2DNL"
"211","UPK3A"
"212","USP17L5"
"213","USP50"
"214","UTP14B"
"215","WRAP53"
"216","XPNPEP1"
"217","XPNPEP3"
"218","ZAR1L"
"219","ZBTB43"
"220","ZFP113"
"221","ZFP217"
"222","ZFP296"
"223","ZFP54"
"224","ZFP599"
"225","ZFP707"
"226","ZFP791"
"227","ZFP939"
"228","ZFP954"
"229","ZKSCAN14"
"230","ZSCAN10"
"231","ZSCAN4A"
"232","ZSCAN4B"
"233","ZSCAN4C"
"234","ZSCAN4D"
"235","ZSCAN4E"
"236","ZSCAN4F"
"237","ZSWIM1"
"238","ZYG11A"
