gene name;baseMean;log2FoldChange;pvalue;padj;logP;Group;class
B020004C17Rik;1525,3217;-6,927590147;1,25E-66;1,83E-62;61,73868646;down-regulated;minor
Gm11517;1128,643463;-6,772208565;3,28E-60;2,41E-56;55,61876185;down-regulated;major
Rnf11;529,2396036;-6,050697799;1,13E-37;5,50E-34;33,25987595;down-regulated;major
Gm3139;259,6461049;-5,439320683;2,35E-37;8,63E-34;33,0640638;down-regulated;major
Gm12789;233,4574748;-6,74565621;1,42E-36;4,16E-33;32,38089106;down-regulated;major
Spic;541,5300771;-6,821809906;5,75E-36;1,41E-32;31,85230135;down-regulated;major
Gm4850;332,1709627;-6,106747836;7,10E-36;1,49E-32;31,82766821;down-regulated;minor
Ccnb1ip1;216,1521223;-5,140874305;2,73E-33;5,00E-30;29,30130332;down-regulated;major
Sfi1;338,7964371;-5,185783045;3,80E-33;6,19E-30;29,20854164;down-regulated;major
Hipk1;569,5708234;-4,821638478;4,17E-31;6,11E-28;27,21371805;down-regulated;major
Ssr2;327,9873632;-4,11774871;1,91E-30;2,55E-27;26,59318669;down-regulated;other
Alppl2;1630,395908;-4,506728874;3,16E-30;3,85E-27;26,41403371;down-regulated;major
Obox3;346,3047998;-9,20593192;8,62E-28;9,72E-25;24,01215988;down-regulated;minor
Npl;574,2826169;-5,645480525;1,54E-27;1,61E-24;23,79345844;down-regulated;major
Osbpl6;191,8122844;-4,344378852;1,86E-27;1,82E-24;23,74049593;down-regulated;major
Rnf6;349,8589526;-3,469359013;5,04E-26;4,61E-23;22,33597776;down-regulated;major
Pdxk;1028,608379;-4,088144487;8,04E-26;6,93E-23;22,15913299;down-regulated;major
Obox5;1364,527467;-13,03780482;2,13E-25;1,73E-22;21,7613534;down-regulated;maternal
Cog4;365,2812247;-4,053347127;3,88E-25;2,99E-22;21,52397636;down-regulated;other
Polr1e;325,5597611;-3,979648325;1,47E-24;1,08E-21;20,96640239;down-regulated;other
Irgq;113,366552;-4,492848261;2,23E-24;1,56E-21;20,80792408;down-regulated;major
AU015228;556,2180461;-3,965789397;2,49E-24;1,66E-21;20,78084288;down-regulated;major
Pdp2;334,9268677;-3,439133675;2,80E-24;1,78E-21;20,74851127;down-regulated;major
Mfap5;163,1914232;-3,837936202;1,30E-23;7,96E-21;20,09889165;down-regulated;major
Slc39a4;200,7389694;-4,413972482;1,11E-22;6,52E-20;19,18579568;down-regulated;major
Aqp11;157,8603225;-3,706670319;2,31E-22;1,30E-19;18,88590292;down-regulated;major
Obox1;338,5647288;-11,9897025;2,99E-22;1,57E-19;18,80547693;down-regulated;maternal
Obox2;344,7881885;-12,01598127;2,90E-22;1,57E-19;18,80547693;down-regulated;maternal
AA543401;91,96378377;-5,320925526;5,21E-22;2,63E-19;18,57954074;down-regulated;other
Becn2;261,236375;-4,093669126;8,60E-22;4,20E-19;18,37671952;down-regulated;other
Kcnk6;105,3390957;-4,893034643;8,95E-22;4,23E-19;18,37361167;down-regulated;other
Fbxo15;2161,083744;-2,742421785;9,93E-22;4,55E-19;18,34224173;down-regulated;major
Lclat1;324,5438556;-3,257326458;1,83E-21;8,12E-19;18,09056946;down-regulated;other
Spns1;223,6543686;-3,42621619;2,41E-21;1,04E-18;17,98300871;down-regulated;major
Scd1;114,6584406;-6,172572995;2,92E-21;1,22E-18;17,91192876;down-regulated;major
Commd7;163,9630906;-3,818832828;4,36E-21;1,78E-18;17,75079228;down-regulated;major
Gata1;162,5207131;-4,5050914;7,95E-21;3,15E-18;17,50186753;down-regulated;major
Yipf1;215,4530739;-4,130373015;1,57E-20;6,07E-18;17,21653148;down-regulated;other
Kif3c;135,130633;-7,844104275;3,72E-20;1,40E-17;16,85422284;down-regulated;major
Pramel7;537,3458912;-3,375225679;1,05E-19;3,84E-17;16,41520858;down-regulated;major
Alox12;173,5150312;-3,138006935;1,75E-19;6,09E-17;16,21511455;down-regulated;major
Zfp775;319,8734671;-3,424192436;1,71E-19;6,09E-17;16,21511455;down-regulated;major
Hipk3;289,7098016;-2,894394853;2,28E-19;7,76E-17;16,11007494;down-regulated;major
Ptdss2;462,9247786;-3,498094996;1,47E-18;4,91E-16;15,30927892;down-regulated;major
Lsg1;309,3898486;-3,106738209;2,14E-18;6,82E-16;15,16639618;down-regulated;other
Prkcd;618,5588612;-3,485967752;2,13E-18;6,82E-16;15,16639618;down-regulated;major
Zfp623;111,6936808;-4,015298989;2,60E-18;8,09E-16;15,09181472;down-regulated;major
Thoc5;147,7263282;-3,368611655;2,85E-18;8,71E-16;15,05980503;down-regulated;other
Slc16a6;211,1818003;-3,552903406;9,63E-18;2,88E-15;14,54037789;down-regulated;major
Gm1995;77,27176316;-6,683620299;1,15E-17;3,37E-15;14,47254151;down-regulated;major
Ficd;370,3016844;-2,790213252;1,19E-17;3,43E-15;14,46482038;down-regulated;major
Obox8;1537,843132;-3,286182002;2,75E-17;7,75E-15;14,1108591;down-regulated;major
Rpp40;188,2228791;-3,861433386;2,92E-17;8,07E-15;14,09305899;down-regulated;major
Slc4a11;155,759278;-3,156537109;3,34E-17;9,06E-15;14,04306917;down-regulated;major
Trmt61b;62,13798157;-5,484382204;3,73E-17;9,95E-15;14,00225984;down-regulated;major
Osr2;294,4988239;3,621284964;7,88E-17;2,06E-14;13,68551885;up-regulated;major
Rilpl2;104,8576121;-4,406679159;1,12E-16;2,88E-14;13,54036968;down-regulated;major
Sult2b1;134,6407428;-3,602361851;1,17E-16;2,96E-14;13,52882682;down-regulated;major
Slc19a3;497,6863541;-4,039042978;1,80E-16;4,48E-14;13,34844137;down-regulated;major
2210409E12Rik;87,11112262;-4,174968045;2,56E-16;6,26E-14;13,20358013;down-regulated;major
Vim;63,21026572;5,462003899;2,89E-16;6,95E-14;13,1577567;up-regulated;other
Nsun5;89,97806555;-3,652081159;3,14E-16;7,44E-14;13,12870709;down-regulated;other
Eif3h;491,8801072;-2,77208088;6,20E-16;1,44E-13;12,84066098;down-regulated;other
Fbxo47;126,9713652;-4,10159818;6,61E-16;1,51E-13;12,81977507;down-regulated;major
Tmem79;160,4403298;-3,531863223;8,55E-16;1,93E-13;12,71503194;down-regulated;major
Slc27a5;62,90229063;-5,048450861;1,00E-15;2,23E-13;12,6522812;down-regulated;major
Rpusd3;74,06179656;-5,763304966;3,40E-15;7,43E-13;12,12900553;down-regulated;other
Zfp939;124,2611387;-3,625632441;3,90E-15;8,41E-13;12,07536705;down-regulated;other
Obox7;75,83735417;-9,833146284;5,16E-15;1,10E-12;11,9603742;down-regulated;maternal
Decr2;156,5892776;-2,916667799;5,54E-15;1,16E-12;11,93537765;down-regulated;major
Abhd6;657,802037;-2,811097517;9,03E-15;1,86E-12;11,72968235;down-regulated;other
Snx15;76,69254085;-3,471000284;9,48E-15;1,93E-12;11,7143224;down-regulated;other
Mon1a;154,0926409;-2,932229883;1,20E-14;2,41E-12;11,61853898;down-regulated;other
Plcd4;54,00193591;-6,175248535;1,36E-14;2,69E-12;11,57072897;down-regulated;major
Gpr161;64,03613895;-4,109028275;1,71E-14;3,34E-12;11,47646294;down-regulated;major
Impdh2;640,411243;-2,974821078;1,91E-14;3,68E-12;11,4343036;down-regulated;major
Mkrn2os;66,45323552;-3,813212165;1,97E-14;3,74E-12;11,42661272;down-regulated;other
Hsd17b14;140,8778512;-3,624893916;2,28E-14;4,24E-12;11,37228246;down-regulated;major
Mycn;98,81022061;3,788258784;2,29E-14;4,24E-12;11,37228246;up-regulated;other
Gm11544;979,2394156;-2,82697714;2,82E-14;5,17E-12;11,28618243;down-regulated;minor
2410016O06Rik;87,97505754;-3,378933328;3,52E-14;6,37E-12;11,19565007;down-regulated;major
Gorasp1;64,41168054;-5,326164355;3,78E-14;6,75E-12;11,17068682;down-regulated;major
Prps1l3;527,7982913;-2,595773382;3,88E-14;6,85E-12;11,16411246;down-regulated;major
Pros1;64,66943447;6,57380195;4,45E-14;7,77E-12;11,10977587;up-regulated;other
Itpkc;93,92847594;-4,664143159;5,78E-14;9,97E-12;11,00151148;down-regulated;major
Galnt11;89,49812508;-3,444570244;6,50E-14;1,11E-11;10,95561577;down-regulated;other
Utp6;236,8271746;-2,389393597;6,88E-14;1,16E-11;10,93595521;down-regulated;other
Mmp19;65,40292847;-4,493895591;8,40E-14;1,40E-11;10,85437341;down-regulated;major
Agmat;60,94682149;-5,294554313;9,16E-14;1,51E-11;10,82147843;down-regulated;major
Zdhhc7;210,9528299;-2,598838343;1,23E-13;2,00E-11;10,69860034;down-regulated;major
Pramel4;61,37390376;-7,044757057;1,46E-13;2,35E-11;10,62915399;down-regulated;major
Ppcs;80,95278554;-3,49160896;1,56E-13;2,48E-11;10,60497773;down-regulated;major
Bri3bp;192,1647566;-3,874071817;2,56E-13;4,03E-11;10,3948841;down-regulated;major
Pip5k1a;258,2045778;-2,922472428;3,01E-13;4,70E-11;10,32809851;down-regulated;major
Exosc5;118,7265687;-3,671104353;3,27E-13;5,05E-11;10,29688635;down-regulated;other
1600010M07Rik;55,29787186;-6,896383178;3,60E-13;5,50E-11;10,25986812;down-regulated;major
Zbtb17;126,0311546;-2,872431713;3,87E-13;5,85E-11;10,23300696;down-regulated;other
Cthrc1;100,9476407;3,581908089;3,98E-13;5,88E-11;10,23095654;up-regulated;other
Exd2;163,1729518;-3,096162753;3,97E-13;5,88E-11;10,23095654;down-regulated;other
Slc22a20;45,38469432;-5,915158901;4,01E-13;5,88E-11;10,23095654;down-regulated;major
AA415398;151,5367313;-2,956713614;4,38E-13;6,35E-11;10,19702926;down-regulated;major
Nicn1;182,6293477;-2,583879829;4,95E-13;7,11E-11;10,148022;down-regulated;major
Iqub;172,4993794;-3,717111671;6,51E-13;9,26E-11;10,03316151;down-regulated;major
Imp3;462,1056684;-2,191065657;6,78E-13;9,55E-11;10,01989947;down-regulated;other
Kti12;469,9013231;-2,115715092;7,61E-13;1,06E-10;9,973723208;down-regulated;major
E330012B07Rik;682,9776241;2,191667731;7,88E-13;1,09E-10;9,962523157;up-regulated;other
Coq4;125,2937857;-3,285803174;8,11E-13;1,11E-10;9,954106838;down-regulated;major
Chrna10;74,21969806;-6,413253035;8,66E-13;1,17E-10;9,930022676;down-regulated;other
Mum1l1;264,6752536;2,903492082;9,15E-13;1,22E-10;9,91377142;up-regulated;other
Wdr36;331,4647763;-2,499452977;9,14E-13;1,22E-10;9,91377142;down-regulated;other
Brf2;137,0081294;-2,847662402;1,13E-12;1,49E-10;9,827793277;down-regulated;other
Fam57b;47,60092428;-4,438438147;1,14E-12;1,49E-10;9,827011313;down-regulated;major
Anxa2;116,5825719;3,886331821;1,41E-12;1,83E-10;9,737013765;up-regulated;maternal
Dennd2a;66,56126508;-3,688699029;1,72E-12;2,21E-10;9,655077401;down-regulated;other
Ipo4;192,7990904;-2,617368322;1,98E-12;2,52E-10;9,597851691;down-regulated;other
Mfsd7c;53,30016517;-4,435195206;2,03E-12;2,57E-10;9,590614452;down-regulated;major
1700034H15Rik;97,4610315;-4,294819433;2,20E-12;2,76E-10;9,558944574;down-regulated;major
Folr1;662,548204;-2,808135228;2,23E-12;2,76E-10;9,558322748;down-regulated;major
Gm5;70,96042537;-3,462711004;2,32E-12;2,85E-10;9,54444375;down-regulated;other
Eif2b3;145,2505615;-3,48700514;2,61E-12;3,19E-10;9,496666412;down-regulated;maternal
Mybbp1a;256,586418;-2,491615685;2,64E-12;3,20E-10;9,495250829;down-regulated;other
Pin1rt1;51,05288361;-4,398100231;2,87E-12;3,45E-10;9,461903802;down-regulated;other
Cope;108,319296;-3,19872796;3,36E-12;4,01E-10;9,397035131;down-regulated;other
Ccdc126;130,8810914;-2,845400114;3,39E-12;4,01E-10;9,396993687;down-regulated;major
Trub2;166,0177935;-2,707984542;3,70E-12;4,34E-10;9,362533547;down-regulated;major
Sp110;305,0727416;-2,256098951;3,98E-12;4,63E-10;9,334302425;down-regulated;other
Adsl;217,8726744;-3,174124289;4,25E-12;4,91E-10;9,309128057;down-regulated;other
Ccdc137;162,8360013;-2,385543328;4,42E-12;5,06E-10;9,295648306;down-regulated;major
Gja1;48,22766025;-4,111820715;4,52E-12;5,14E-10;9,289115333;down-regulated;major
Tbc1d12;52,28792126;-3,989956543;5,05E-12;5,69E-10;9,244938579;down-regulated;other
Foxr1;210,7934738;-2,371814894;5,87E-12;6,56E-10;9,183262084;down-regulated;other
Tbl3;244,4106503;-2,445195545;5,91E-12;6,56E-10;9,183262084;down-regulated;other
4931409K22Rik;61,72389679;-7,694387669;6,59E-12;7,27E-10;9,138632287;down-regulated;other
Atl3;145,0233457;-2,777518582;7,11E-12;7,78E-10;9,109268556;down-regulated;other
L2hgdh;490,3719686;-3,133126998;7,22E-12;7,78E-10;9,109185964;down-regulated;major
Tbxa2r;51,76224093;-3,5866822;7,20E-12;7,78E-10;9,109185964;down-regulated;major
B4galnt2;94,70714042;-3,465727121;7,95E-12;8,50E-10;9,070677645;down-regulated;major
Cd24a;301,9808274;2,531428721;8,00E-12;8,50E-10;9,070677645;up-regulated;major
S100a10;52,87997097;5,300078363;8,19E-12;8,63E-10;9,06381969;up-regulated;other
Polr3b;150,9960443;-2,55083406;8,30E-12;8,67E-10;9,06188708;down-regulated;other
Timd2;2085,289991;-3,940050094;8,34E-12;8,67E-10;9,06188708;down-regulated;major
Npc1l1;38,74262321;-4,828716532;9,80E-12;1,00E-09;8,997834967;down-regulated;other
Sun1;413,0581522;-2,256795489;9,79E-12;1,00E-09;8,997834967;down-regulated;other
Dna2;114,0089081;-2,611247378;9,88E-12;1,01E-09;8,997672005;down-regulated;other
Gins3;88,33993486;-3,562046358;1,07E-11;1,08E-09;8,965282559;down-regulated;other
Ugp2;113,18352;2,80515243;1,10E-11;1,10E-09;8,956838215;up-regulated;other
Btbd18;477,4847486;-2,817747714;1,13E-11;1,13E-09;8,947948992;down-regulated;other
Ndrg1;43,17964698;4,200957214;1,24E-11;1,23E-09;8,910639833;up-regulated;other
Cst7;78,03300297;-4,651309223;1,37E-11;1,34E-09;8,872705821;down-regulated;major
Polq;152,9973996;-3,381484418;1,37E-11;1,34E-09;8,872705821;down-regulated;major
Klb;85,92065291;-3,207325131;1,56E-11;1,52E-09;8,818641979;down-regulated;major
Gemin5;194,1741912;-2,567640671;1,60E-11;1,55E-09;8,811047402;down-regulated;major
Ap1m2;101,7496885;-3,247791414;2,00E-11;1,91E-09;8,718487631;down-regulated;other
Sox11;91,34722714;3,93613612;2,12E-11;2,02E-09;8,69477651;up-regulated;other
Nob1;335,877747;-2,280209802;2,15E-11;2,03E-09;8,69239508;down-regulated;major
Parp2;180,3354381;-2,724374571;2,32E-11;2,18E-09;8,662199462;down-regulated;other
Drg2;236,6261974;-2,52441772;2,37E-11;2,20E-09;8,657392181;down-regulated;other
Slc5a6;551,1296752;-2,774643487;2,36E-11;2,20E-09;8,657392181;down-regulated;major
Zc3hc1;289,7052493;-2,200232044;2,72E-11;2,50E-09;8,60128907;down-regulated;major
Cpt2;43,93989868;-4,219484302;2,86E-11;2,62E-09;8,581104038;down-regulated;maternal
Nelfcd;93,99781683;-2,713716947;3,22E-11;2,93E-09;8,532818763;down-regulated;other
Calcoco2;251,2318518;-3,231077555;3,38E-11;3,04E-09;8,51751624;down-regulated;major
Pnlip;68,02167738;-4,398286739;3,36E-11;3,04E-09;8,51751624;down-regulated;other
Dnajb14;191,3390738;-2,963625286;3,45E-11;3,08E-09;8,511562598;down-regulated;major
Arih2;243,3869544;-2,211895911;3,56E-11;3,11E-09;8,507176293;down-regulated;major
Narfl;79,52788169;-3,876984146;3,55E-11;3,11E-09;8,507176293;down-regulated;major
Rab20;350,6582978;-3,148854792;3,51E-11;3,11E-09;8,507176293;down-regulated;major
Tor1b;398,7652434;-2,470411665;3,56E-11;3,11E-09;8,507176293;down-regulated;major
Tnfaip8l2;58,73903743;-3,630041137;3,69E-11;3,20E-09;8,494873572;down-regulated;major
Gm13128;61,90800679;-4,167251275;4,14E-11;3,57E-09;8,44725896;down-regulated;major
Tefm;96,41047058;-3,414181336;4,18E-11;3,58E-09;8,445978031;down-regulated;other
Apol7b;35,95726596;-5,88878027;4,23E-11;3,61E-09;8,442798871;down-regulated;major
Pex3;245,6502448;-2,668889285;4,41E-11;3,73E-09;8,427770789;down-regulated;other
Bex6;189,4558818;-3,580137183;4,45E-11;3,75E-09;8,426000086;down-regulated;minor
Ccbl2;110,9190417;-2,844074152;4,57E-11;3,83E-09;8,41666901;down-regulated;other
Nmnat1;101,120858;-2,703712856;4,79E-11;3,99E-09;8,398742522;down-regulated;major
Selt;605,8914829;-2,05393817;4,85E-11;4,02E-09;8,396211584;down-regulated;other
Ap4b1;81,95418491;-2,65047626;5,35E-11;4,39E-09;8,357896559;down-regulated;major
Crcp;140,9113151;-2,884638712;5,36E-11;4,39E-09;8,357896559;down-regulated;other
Gapt;46,50410134;-4,243316884;5,40E-11;4,40E-09;8,356422716;down-regulated;other
Cst3;113,2537412;2,937677887;5,44E-11;4,40E-09;8,356104329;up-regulated;maternal
Wdr55;114,2310086;-3,412587187;6,18E-11;4,96E-09;8,30454123;down-regulated;other
Yeats2;90,5724698;-2,839456895;6,19E-11;4,96E-09;8,30454123;down-regulated;major
Nop9;106,5674117;-2,932493194;6,50E-11;5,18E-09;8,28579236;down-regulated;other
Smyd5;191,7064372;-3,202466997;6,72E-11;5,33E-09;8,273431925;down-regulated;other
Mis18a;421,7999625;-2,378340643;6,89E-11;5,40E-09;8,267290822;down-regulated;other
Pmm1;299,0697499;-2,307251081;6,88E-11;5,40E-09;8,267290822;down-regulated;other
Abcf1;256,9694125;-2,616890121;6,97E-11;5,43E-09;8,265047928;down-regulated;other
Ctsa;393,7073736;-2,927797648;7,26E-11;5,63E-09;8,249477427;down-regulated;major
Gnas;247,5824933;2,065549355;7,30E-11;5,63E-09;8,249477427;up-regulated;other
Cad;95,63301297;-2,562266328;7,69E-11;5,90E-09;8,229138126;down-regulated;other
Aprt;355,5307953;-2,767428304;8,53E-11;6,51E-09;8,186145279;down-regulated;major
Gm6902;55,65094233;-3,167823124;8,88E-11;6,74E-09;8,171160287;down-regulated;other
Ankrd35;38,52234629;-4,656512056;9,04E-11;6,83E-09;8,165446662;down-regulated;other
Hectd1;253,4109121;-2,372551819;9,26E-11;6,96E-09;8,157564219;down-regulated;other
Syt11;130,4388395;-2,344986815;9,61E-11;7,18E-09;8,143652844;down-regulated;other
Gls2;86,26365811;-4,723557312;9,96E-11;7,41E-09;8,129918755;down-regulated;other
Lias;166,0922471;-2,557365463;1,07E-10;7,94E-09;8,100272931;down-regulated;major
Nfe2;33,62729406;-5,818352181;1,13E-10;8,35E-09;8,078084537;down-regulated;major
2310040G24Rik;80,2117589;-3,785245972;1,16E-10;8,47E-09;8,072247543;down-regulated;minor
Fblim1;43,00937964;-3,766070382;1,23E-10;8,97E-09;8,047426614;down-regulated;major
Naalad2;198,0571111;-2,524811368;1,26E-10;9,12E-09;8,040148317;down-regulated;other
Sat2;76,46159086;-4,344275848;1,29E-10;9,32E-09;8,030433029;down-regulated;major
Crabp2;186,9975265;3,555095849;1,35E-10;9,70E-09;8,013087946;up-regulated;maternal
Ntmt1;224,8312803;-2,443360394;1,38E-10;9,85E-09;8,006386973;down-regulated;major
Sardh;30,3177959;-8,497318747;1,57E-10;1,11E-08;7,952874939;down-regulated;major
Tdpoz1;173,9067451;-2,319130913;1,57E-10;1,11E-08;7,952874939;down-regulated;major
Man2a2;71,22659095;-3,607510407;1,60E-10;1,13E-08;7,948426085;down-regulated;major
Cpn1;61,75897303;-3,381459217;2,02E-10;1,42E-08;7,848096898;down-regulated;major
Ing4;109,2319032;-2,574880396;2,07E-10;1,44E-08;7,843070781;down-regulated;major
Usp29;80,74534214;-2,802983174;2,06E-10;1,44E-08;7,843070781;down-regulated;other
Yif1a;123,4995899;-2,325229007;2,08E-10;1,44E-08;7,842268342;down-regulated;other
Arrdc1;259,3593625;-2,03997472;2,12E-10;1,46E-08;7,836827042;down-regulated;maternal
Slc30a5;170,6435108;-2,246860542;2,16E-10;1,48E-08;7,829401033;down-regulated;other
Polrmt;109,1879752;-3,170942237;2,21E-10;1,50E-08;7,822489393;down-regulated;other
Pramel6;313,3919185;-2,456001274;2,40E-10;1,63E-08;7,787585498;down-regulated;major
4930432K21Rik;97,91190615;-2,567788017;2,49E-10;1,67E-08;7,77607887;down-regulated;other
Rrp12;105,4223538;-2,732086173;2,48E-10;1,67E-08;7,77607887;down-regulated;other
Eva1a;35,53330577;-5,250393748;2,50E-10;1,68E-08;7,775944614;down-regulated;major
Ccdc25;363,3506782;-2,801621694;2,67E-10;1,78E-08;7,749958301;down-regulated;other
Sos1;137,6967181;-3,41423433;2,91E-10;1,93E-08;7,71418412;down-regulated;other
Ubtfl1;491,9419881;-2,253216623;3,27E-10;2,16E-08;7,665228213;down-regulated;minor
Pex16;117,7584904;-3,285243589;3,29E-10;2,16E-08;7,664926617;down-regulated;other
Tor2a;227,3332257;-2,276967772;3,37E-10;2,20E-08;7,656606632;down-regulated;other
Pmpca;97,97680505;-2,426368781;3,40E-10;2,22E-08;7,654256625;down-regulated;major
Rassf1;144,4201571;2,598100395;3,49E-10;2,26E-08;7,645354119;up-regulated;maternal
Crnkl1;440,0687135;-2,235241075;3,59E-10;2,32E-08;7,635245331;down-regulated;maternal
Psat1;454,6974029;-2,492094987;3,62E-10;2,32E-08;7,633609008;down-regulated;major
Txn1;146,1052848;2,606070774;3,83E-10;2,45E-08;7,610629463;up-regulated;maternal
Pprc1;331,2365761;-2,418079321;3,93E-10;2,50E-08;7,601455816;down-regulated;major
Eda;82,70475835;-2,997693028;4,18E-10;2,65E-08;7,576668253;down-regulated;other
Ubl7;379,8800903;-2,151600392;4,26E-10;2,69E-08;7,569734773;down-regulated;other
Glb1;154,5201721;-2,623799657;4,56E-10;2,87E-08;7,54268171;down-regulated;major
Dppa5a;520,9874642;-2,222073575;4,76E-10;2,98E-08;7,525519752;down-regulated;other
Bcl2l14;102,7697183;-3,412405352;4,88E-10;3,05E-08;7,51613977;down-regulated;major
Ikbip;33,27307784;-4,258842077;5,04E-10;3,13E-08;7,504425772;down-regulated;major
Rtfdc1;329,6650826;-2,509566025;5,39E-10;3,33E-08;7,477266149;down-regulated;other
BC017643;48,44831441;-3,866885397;5,54E-10;3,41E-08;7,466810488;down-regulated;other
Pdgfa;37,48870735;4,166198343;5,65E-10;3,46E-08;7,460458711;up-regulated;maternal
4933426M11Rik;75,47039494;-3,04818893;5,69E-10;3,48E-08;7,458733969;down-regulated;other
Dbnl;57,77219212;-3,179416313;5,78E-10;3,52E-08;7,453966159;down-regulated;other
BC068281;39,5454155;-4,057304207;5,96E-10;3,61E-08;7,442796374;down-regulated;other
Gm3286;40,99995633;-7,972241049;6,21E-10;3,73E-08;7,428218429;down-regulated;other
Tgs1;199,7208005;-2,60120565;6,19E-10;3,73E-08;7,428218429;down-regulated;major
Trim43c;376,0989098;-2,585269512;6,31E-10;3,77E-08;7,423129037;down-regulated;major
D5Ertd605e;37,29990396;-4,66404035;6,37E-10;3,80E-08;7,420561884;down-regulated;major
Zfp36l2;80,08657747;3,04498467;6,92E-10;4,10E-08;7,3867545;up-regulated;other
Hmgn5;899,6490778;2,259090783;7,46E-10;4,41E-08;7,355379588;up-regulated;other
Tbx20;116,5032638;2,624054788;7,76E-10;4,57E-08;7,340432123;up-regulated;other
Cdo1;361,964389;2,706339284;7,97E-10;4,67E-08;7,330642991;up-regulated;other
Duoxa2;114,5389149;3,135810236;9,67E-10;5,65E-08;7,247969369;up-regulated;other
Ppm1g;440,7594397;-1,900880958;9,82E-10;5,71E-08;7,243124204;down-regulated;other
Mdk;37,35125876;5,056725107;9,90E-10;5,73E-08;7,241621874;up-regulated;other
Hexb;367,086507;-2,345930892;1,05E-09;6,08E-08;7,216052017;down-regulated;major
Chek2;263,1358668;-2,187274249;1,07E-09;6,16E-08;7,21029951;down-regulated;major
Mina;148,1160984;-2,823703475;1,08E-09;6,18E-08;7,209214046;down-regulated;other
Gtf2i;76,54625764;-2,82922579;1,09E-09;6,19E-08;7,208115764;down-regulated;major
Flrt3;61,11166569;3,234371473;1,11E-09;6,30E-08;7,2007888;up-regulated;other
Dsp;64,09445409;2,92315954;1,13E-09;6,37E-08;7,1955264;up-regulated;other
Ccdc155;31,4699646;-4,831441998;1,17E-09;6,55E-08;7,183512448;down-regulated;maternal
Commd5;81,58058193;-2,562182471;1,16E-09;6,55E-08;7,183512448;down-regulated;major
Nelfe;178,6650751;-2,224922648;1,20E-09;6,73E-08;7,171694031;down-regulated;other
Cx3cl1;52,54467767;4,544748815;1,26E-09;7,01E-08;7,154217273;up-regulated;other
Zkscan14;99,2869922;-2,505284064;1,28E-09;7,12E-08;7,147403751;down-regulated;maternal
Dbt;107,6738177;-2,436620612;1,38E-09;7,62E-08;7,117902536;down-regulated;other
Klhl10;35,63013567;-5,575528529;1,39E-09;7,65E-08;7,116093975;down-regulated;other
Polr3e;171,4034192;-2,404669454;1,45E-09;7,97E-08;7,098773061;down-regulated;major
Prmt5;213,8734347;-2,170382827;1,55E-09;8,45E-08;7,072973095;down-regulated;other
Gata2;126,7152933;2,814265731;1,59E-09;8,67E-08;7,062226245;up-regulated;other
Mospd2;155,4819204;2,248459677;1,60E-09;8,67E-08;7,062226245;up-regulated;other
