;Supplementary Table 2. Differential gene expression analyses in Dux WT and MZ-KO 2-cell embryos;;;;;;;;;;;;;;;;RPKM: Reads Per Kilobase of gene, per Million mapped reads
Gene Symbol;RPKM;;;;;;;;DESeq_output;;;;;;;Group (FC>2&FDR<0.05);Three RNA-seq replicates from each group were used for analyses. Negative binomial test from DESeq R package was used to compute FDR using raw read counts of each gene.  Differentially expressed genes were defined as (RPKM > 1 in either WT or MZ-KO, FDR < 0.05, and FC > 2)
;WT_rep1;WT_rep2;WT_rep3;MZ-KO_rep1;MZ-KO_rep2;MZ-KO_rep3;WT_mean;KO_mean;baseMean;baseMeanA;baseMeanB;fold change (FC);log2FC;pval;FDR;;Related to Figure 2A
0610005C13Rik;1,77967;9,54647;22,1874;1,61126;4,41161;8,12843;11,17118;4,7171;127,0404497;177,0000032;77,08089627;0,435485282;-1,199304134;0,141829991;0,682987143;similar level;
0610007C21Rik;256,971;227,404;179,913;102,812;181,831;171,358;221,4293333;152,0003333;2647,321294;3065,225201;2229,417386;0,727325805;-0,459326333;0,202318012;0,762697;similar level;
0610007L01Rik;18,0058;16,709;16,6607;21,5887;17,4753;19,7028;17,12516667;19,58893333;1130,509684;1032,979023;1228,040345;1,188833768;0,249547001;0,392326793;0,895715025;similar level;
0610007N19Rik;30,1028;23,392;29,8725;27,6106;26,0798;33,4873;27,7891;29,05923333;633,6853774;609,252966;658,1177889;1,080204489;0,111304449;0,759341727;0,993422138;similar level;
0610007P08Rik;10,7895;11,0419;15,4854;14,0999;14,7933;13,3689;12,43893333;14,08736667;1246,42717;1142,003673;1350,850667;1,182877691;0,242300907;0,407008747;0,904813828;similar level;
0610007P14Rik;54,0996;48,6302;54,3817;51,2015;50,3126;57,0687;52,3705;52,86093333;939,3811764;912,7620284;966,0003244;1,058326589;0,081784898;0,792412222;0,996542754;similar level;
0610007P22Rik;11,8664;34,1299;13,817;10,046;9,59992;14,7915;19,93776667;11,47914;334,5162711;405,5479721;263,48457;0,64970013;-0,622154102;0,169993278;0,72780894;similar level;
0610008F07Rik;2,08174;6,72959;4,69549;3,78506;2,6511;2,16766;4,502273333;2,86794;51,98227129;61,57610742;42,38843515;0,688390951;-0,538699962;0,351301197;0,875662923;similar level;
0610009B14Rik;7,73533;7,53873;1,08467;5,48618;4,1628;2,61017;5,45291;4,086383333;64,99498771;74,92218402;55,0677914;0,734999815;-0,444184208;0,437464088;0,920546633;similar level;
0610009B22Rik;57,0777;47,3475;43,0656;39,7803;58,9891;70,5682;49,1636;56,44586667;563,7193412;515,8806298;611,5580526;1,185464267;0,245452177;0,361445298;0,879454832;similar level;
0610009D07Rik;126,722;194,418;215,952;117,289;128,828;178,526;179,0306667;141,5476667;2707,950493;2980,902488;2434,998498;0,816866203;-0,2918283;0,295717149;0,841339746;similar level;
0610009L18Rik;7,1301;11,0503;11,2823;12,4497;14,9484;13,9746;9,8209;13,7909;91,67951732;76,41812261;106,940912;1,399418206;0,484827166;0,31356395;0,853383206;similar level;
0610009O20Rik;0,743322;0,298679;0,2713;0,235057;0,534517;0,419167;0,437767;0,396247;21,17293756;21,6476298;20,69824532;0,956143722;-0,064700603;1;1;similar level;
0610010B08Rik;0;0;0;0;0;0;0;0;37,75278249;37,21659509;38,28896988;1,028814425;0,040982776;0,809063206;0,998540188;similar level;
0610010F05Rik;16,1161;12,8025;13,9636;13,3748;18,7956;16,044;14,29406667;16,07146667;1101,784476;1025,0367;1178,532251;1,149746395;0,201315674;0,373879761;0,883383883;similar level;
0610010K14Rik;46,8483;57,693;49,2288;33,6878;33,6291;45,8354;51,2567;37,71743333;423,7051294;481,5723872;365,8378717;0,759673689;-0,396548241;0,189743887;0,749677157;similar level;
