"Gene_id","Intersection_category","Intersection_count"
"1110004F10RIK","B6D2F1 pure (N=1)",1
"1700021F05RIK","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"1700084M14RIK","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"2210016L21RIK","B6D2F1 pure (N=1)",1
"2610005L07RIK","B6D2F1 pure (N=1)",1
"2610044O15RIK8","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"2700097O09RIK","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"2810006K23RIK","B6D2F1 pure (N=1)",1
"4930548H24RIK","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"5730455P16RIK","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"9930104L06RIK","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"A530032D15RIK","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"AA623943","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"AAED1","B6D2F1 pure (N=1)",1
"AAMDC","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ABT1","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"AC124237.1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"AC132444.1","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"AC133103.1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"AC133103.5","B6D2F1 pure (N=1)",1
