gene;siControl 1-Cell;siControl 2-Cell_1;siControl 2-Cell_2;NfyaKD 2-Cell_1;NfyaKD 2-Cell_2;log2fc_2Cell vs. 1-Cell;log2fc_2-Cell_NfyaKD
0610005C13Rik;0;7,93;22,29;8,17;18,11;7,25;0,2
0610009D07Rik;6,69;38,4;137,55;47,03;109,36;3,7;0,17
0610010O12Rik;3,54;24,43;48,76;19,45;33,82;3,33;0,46
0610012G03Rik;3,03;7,47;95,86;10,55;93,61;4,05;-0,01
1110002L01Rik;0,04;2,35;1,62;3,54;2,54;3,91;-0,59
1110004F10Rik;6,77;28,94;42,63;34,79;39,53;2,39;-0,05
1110008F13Rik;5,82;6,67;76,65;6,96;70,94;2,82;0,1
1110017F19Rik;0,08;2,83;5,18;2,43;3,89;4,54;0,33
1110018J18Rik;0,08;4,05;9,39;5;7,58;5,27;0,09
1110034A24Rik;0,56;3,8;6,7;3,76;5,6;3,03;0,16
1110038B12Rik;3,18;29,41;18,64;28,45;23,38;2,88;-0,11
1190002F15Rik;0;1,31;1,05;0,12;0,95;3,68;1,02
1190002H23Rik;0,17;2,13;11,75;4,68;21,8;4,72;-0,92
1190003J15Rik;0,13;10,57;2,51;5,61;5,16;4,87;0,28
1500012F01Rik;2,35;36,78;51,24;43,9;48,84;4,17;-0,08
1600002K03Rik;0,8;4,32;4,96;11,44;5,71;2,39;-0,87
1600010M07Rik;0;13,87;45,13;13,4;47,07;8,21;-0,04
1600012H06Rik;0,13;3,7;6,08;5,81;8,18;4,45;-0,51
1600020E01Rik;0,79;13,24;33,55;14,95;23,3;4,72;0,29
1600025M17Rik;0;82,56;248,74;63,28;145,22;10,69;0,67
1700007K13Rik;0;0,97;1,71;0,95;1,87;3,85;-0,07
1700009P17Rik;0;1,28;2,99;2,73;1,7;4,49;-0,04
1700010D01Rik;1,23;16,95;38,85;18,45;30,35;4,39;0,19
1700011M02Rik;0;3,84;2,8;2,51;0,28;5,1;1,19
1700012B15Rik;0,14;6,8;21,62;7,57;33,98;5,92;-0,55
1700013H16Rik;0,06;17,38;107,07;10,11;36,31;8,62;1,42
1700014N06Rik;0;1,73;0,46;0,36;0,35;3,58;1,42
1700018C11Rik;0;0,58;5,58;0,38;0,13;4,99;3,18
1700019B21Rik;0,31;7,61;6,17;7,64;5,94;4,1;0,02
1700019E08Rik;0;3,34;1,14;2,05;0;4,55;1,06
1700019L03Rik;0;1,11;1,32;1,12;1,75;3,71;-0,22
1700019M22Rik;0;1,24;1,73;1,33;1,34;3,98;0,14
1700019N12Rik;0;7,36;16,38;6,15;13,41;6,9;0,28
1700024F13Rik;0,39;5,6;7,83;3,6;3,32;3,81;0,94
1700027A15Rik;0;1,96;17,4;0,98;19,46;6,61;-0,08
1700030L20Rik;3,95;482,98;613,8;456,93;427,35;7,08;0,31
1700034F02Rik;0,15;5,77;11,09;6,16;7,97;5,09;0,25
