"Intersection_category","Intersection_count","Gene_name","Gene_id"
"Obox regulated",1,"0610005C13Rik","ENSMUSG00000109644"
"Obox regulated|ZGA genes",2,"0610012G03Rik","ENSMUSG00000107002"
"NRs regulated|Obox regulated",2,"0610030E20Rik","ENSMUSG00000058706"
"NRs regulated",1,"1110004F10Rik","ENSMUSG00000030663"
"NRs regulated",1,"1110008P14Rik","ENSMUSG00000039195"
"NRs regulated|Obox regulated",2,"1110038F14Rik","ENSMUSG00000063236"
"NRs regulated",1,"1110059E24Rik","ENSMUSG00000035171"
"NRs regulated|Obox regulated",2,"1110059G10Rik","ENSMUSG00000032551"
"NRs regulated",1,"1520401A03Rik","ENSMUSG00000043747"
"Obox regulated",1,"1600002K03Rik","ENSMUSG00000035595"
"Obox regulated",1,"1600010M07Rik","ENSMUSG00000101585"
"NRs regulated",1,"1600012H06Rik","ENSMUSG00000050088"
"NRs regulated",1,"1600014C10Rik","ENSMUSG00000054676"
"Obox regulated",1,"1600025M17Rik","ENSMUSG00000085114"
"NRs regulated",1,"1700001C19Rik","ENSMUSG00000047150"
"NRs regulated|Obox regulated",2,"1700001O22Rik","ENSMUSG00000044320"
"NRs regulated",1,"1700010N08Rik","ENSMUSG00000101855"
"NRs regulated",1,"1700013H16Rik","ENSMUSG00000054727"
"NRs regulated",1,"1700017B05Rik","ENSMUSG00000032300"
"NRs regulated",1,"1700019A02Rik","ENSMUSG00000060715"
"Dux regulated",1,"1700019M22Rik","ENSMUSG00000059695"
"ZGA genes",1,"1700021F05Rik","ENSMUSG00000019797"
"NRs regulated",1,"1700022A21Rik","ENSMUSG00000038165"
"NRs regulated",1,"1700029I15Rik","ENSMUSG00000044916"
"NRs regulated",1,"1700030C10Rik","ENSMUSG00000091071"
"NRs regulated",1,"1700030C10Rik","ENSMUSG00000099759"
"Obox regulated",1,"1700034H15Rik","ENSMUSG00000055833"
"Obox regulated",1,"1700061G19Rik","ENSMUSG00000024209"
"NRs regulated",1,"1700066B19Rik","ENSMUSG00000073598"
"NRs regulated|Obox regulated",2,"1700069L16Rik","ENSMUSG00000042184"
"NRs regulated",1,"1700084J12Rik","ENSMUSG00000058101"
"NRs regulated",1,"1700088E04Rik","ENSMUSG00000033029"
"NRs regulated",1,"1700092M07Rik","ENSMUSG00000090840"
"Obox regulated",1,"1700093K21Rik","ENSMUSG00000020286"
"Obox regulated",1,"1700096K18Rik","ENSMUSG00000101856"
"NRs regulated",1,"1700109H08Rik","ENSMUSG00000008307"
"NRs regulated",1,"1700123O20Rik","ENSMUSG00000040822"
"Obox regulated",1,"1700125H20Rik","ENSMUSG00000018479"
"NRs regulated|ZGA genes",2,"1810009A15Rik","ENSMUSG00000071653"
"NRs regulated|Obox regulated",2,"1810024B03Rik","ENSMUSG00000044145"
"NRs regulated",1,"1810030O07Rik","ENSMUSG00000044148"
"NRs regulated|Obox regulated",2,"1810055G02Rik","ENSMUSG00000035372"
"NRs regulated",1,"2010010A06Rik","ENSMUSG00000102047"
"NRs regulated",1,"2200002D01Rik","ENSMUSG00000030587"
"Obox regulated",1,"2210011C24Rik","ENSMUSG00000074217"
"NRs regulated|ZGA genes",2,"2210016F16Rik","ENSMUSG00000021550"
"NRs regulated|Obox regulated",2,"2210016L21Rik","ENSMUSG00000029559"
"NRs regulated",1,"2210408I21Rik","ENSMUSG00000071252"
"Dux regulated|NRs regulated|Obox regulated|ZGA genes",4,"2210409E12Rik","ENSMUSG00000081766"
"NRs regulated|Obox regulated",2,"2310011J03Rik","ENSMUSG00000020133"
"Dux regulated|Obox regulated",2,"2310040G24Rik","ENSMUSG00000101655"
"NRs regulated",1,"2310057M21Rik","ENSMUSG00000040177"
