"Gene_id","Intersection_category","Intersection_count"
"1110002N22RIK","Dux regulated",1
"1110005A03RIK","Dux regulated",1
"1700019M22RIK","Dux regulated",1
"2210409E12RIK","Dux regulated|NRs regulated|Obox regulated|ZGA genes",4
"2310040G24RIK","Dux regulated|Obox regulated",2
"2610206C17RIK","Dux regulated|Obox regulated",2
"3830417A13RIK","Dux regulated",1
"4930451C15RIK","Dux regulated",1
"4933402E13RIK","Dux regulated",1
"4933408B17RIK","Dux regulated",1
"5830403L16RIK","Dux regulated",1
"9630033F20RIK","Dux regulated",1
"AA415398","Dux regulated|Obox regulated",2
"ABO","Dux regulated|NRs regulated",2
"ALOX12","Dux regulated|NRs regulated|Obox regulated|ZGA genes",4
"ALPL","Dux regulated|NRs regulated|Obox regulated",3
"ALPPL2","Dux regulated|NRs regulated|Obox regulated",3
"ALYREF2","Dux regulated|Obox regulated",2
"ANKRD35","Dux regulated|NRs regulated|Obox regulated",3
"APON","Dux regulated|NRs regulated|Obox regulated",3
"ARG2","Dux regulated|NRs regulated",2
"ARID5A","Dux regulated|NRs regulated",2
"ARID5B","Dux regulated",1
"ARRDC1","Dux regulated|NRs regulated|Obox regulated",3
"ARRDC2","Dux regulated|NRs regulated",2
"AU015228","Dux regulated|NRs regulated|Obox regulated|ZGA genes",4
"AW209491","Dux regulated|NRs regulated",2
"B020004C17RIK","Dux regulated|Obox regulated",2
"B020004J07RIK","Dux regulated|Obox regulated",2
"BC049762","Dux regulated|NRs regulated",2
"BC051628","Dux regulated",1
"BC080695","Dux regulated",1
"BOLA1","Dux regulated|ZGA genes",2
"BTBD19","Dux regulated|NRs regulated",2
"C1S","Dux regulated",1
"C330005M16RIK","Dux regulated",1
"CALCOCO2","Dux regulated|NRs regulated|Obox regulated",3
"CARD6","Dux regulated|NRs regulated|Obox regulated",3
"CCDC107","Dux regulated|NRs regulated|Obox regulated",3
"CCNJL","Dux regulated|NRs regulated|Obox regulated",3
"CCT3","Dux regulated|NRs regulated|Obox regulated|ZGA genes",4
"CD247","Dux regulated",1
"CD59B","Dux regulated",1
"CDC20","Dux regulated|NRs regulated|Obox regulated",3
"CDC42EP2","Dux regulated|NRs regulated",2
"CDCA5","Dux regulated|NRs regulated|Obox regulated",3
"CENPM","Dux regulated|NRs regulated|Obox regulated",3
"COQ4","Dux regulated|NRs regulated|Obox regulated|ZGA genes",4
"CRXOS1","Dux regulated",1
"CSF3R","Dux regulated",1
"CST7","Dux regulated|NRs regulated|Obox regulated",3
"CST9","Dux regulated",1
"CSTF1","Dux regulated|NRs regulated",2
"CTNNBL1","Dux regulated|NRs regulated|Obox regulated",3
"CTRB1","Dux regulated|Obox regulated",2
"CWC22","Dux regulated|NRs regulated|ZGA genes",3
"CYB5R2","Dux regulated",1
"CYBASC3","Dux regulated",1
"D5ERTD605E","Dux regulated|Obox regulated",2
"DDX39","Dux regulated|Obox regulated|ZGA genes",3
"DDX54","Dux regulated|NRs regulated|Obox regulated",3
"DEFB22","Dux regulated",1
"DNAJB13","Dux regulated",1
"DNER","Dux regulated|NRs regulated",2
"DNPEP","Dux regulated|NRs regulated",2
"ECM2","Dux regulated",1
"EID2","Dux regulated|Obox regulated",2
"ELF3","Dux regulated",1
"EPCAM","Dux regulated|NRs regulated|Obox regulated",3
"ESP24","Dux regulated|NRs regulated",2
"EXOSC5","Dux regulated|NRs regulated|Obox regulated|ZGA genes",4
"FAHD1","Dux regulated",1
"FAM43B","Dux regulated|Obox regulated",2
"FAM58B","Dux regulated|Obox regulated",2
"FBXO6","Dux regulated|NRs regulated|Obox regulated",3
"FICD","Dux regulated|Obox regulated",2
"FKBP4","Dux regulated|NRs regulated|ZGA genes",3
"FLYWCH2","Dux regulated|NRs regulated|Obox regulated",3
"FOXI3","Dux regulated|NRs regulated",2
"FOXR1","Dux regulated|NRs regulated|Obox regulated|ZGA genes",4
"FUNDC1","Dux regulated|Obox regulated|ZGA genes",3
"GABPA","Dux regulated|NRs regulated|Obox regulated",3
"GCNT2","Dux regulated|NRs regulated",2
"GGT6","Dux regulated|NRs regulated|Obox regulated",3
"GLUL","Dux regulated|NRs regulated|ZGA genes",3
"GM11487","Dux regulated",1
"GM11517","Dux regulated|NRs regulated|Obox regulated",3
"GM11544","Dux regulated|Obox regulated",2
"GM11756","Dux regulated",1
"GM12794","Dux regulated",1
"GM13083","Dux regulated",1
"GM13102","Dux regulated|NRs regulated|Obox regulated",3
"GM13109","Dux regulated",1
"GM13128","Dux regulated|Obox regulated",2
"GM16381","Dux regulated|Obox regulated",2
"GM1995","Dux regulated|Obox regulated",2
"GM2022","Dux regulated",1
"GM3139","Dux regulated|Obox regulated",2
"GM428","Dux regulated|ZGA genes",2
"GM4827","Dux regulated",1
"GM4850","Dux regulated|NRs regulated|Obox regulated",3
"GM4971","Dux regulated",1
"GM4981","Dux regulated",1
"GM5","Dux regulated|Obox regulated",2
"GM5077","Dux regulated",1
"GM5127","Dux regulated",1
"GM7534","Dux regulated",1
"GM8300","Dux regulated",1
"GM853","Dux regulated",1
"GM8994","Dux regulated",1
