baseMean;log2FoldChange.x;lfcSE;pvalue;padj.x;gene_id;State;ensgene;majZGA
42,66025757;1,257753237;0,202919746;2,21E-10;7,60E-10;0610009B22Rik;UP;NA;non_ZGA
94,50746045;0,828211167;0,239057443;0,000331454;0,000679054;0610010F05Rik;UP;NA;non_ZGA
185,5030997;0,842644012;0,082666415;1,36E-24;1,02E-23;0610010K14Rik;UP;NA;non_ZGA
1370,614904;0,481050301;0,149208844;0,001085744;0,002087021;0610012G03Rik;UP;NA;NA
27,19090115;-1,319217502;0,234819277;7,79E-09;2,41E-08;0610030E20Rik;DOWN;NA;non_ZGA
146,085678;0,330444219;0,139493616;0,016381046;0,026318041;0610040J01Rik;UP;ENSMUSG00000060512;non_ZGA
2,260383304;7,455981544;1,624192615;2,32E-06;5,91E-06;1110002E22Rik;UP;NA;NA
123,0854984;-1,962790825;0,134349121;5,89E-49;1,30E-47;1110004F10Rik;DOWN;NA;B6CASTF1_ZGA
62,57695842;-0,696652665;0,146446613;1,54E-06;3,98E-06;1110008P14Rik;DOWN;NA;C57BL6_ZGA
3,568231845;2,038054634;0,373032308;8,46E-09;2,61E-08;1110017D15Rik;UP;NA;non_ZGA
0,16289022;0,285433261;1,061968588;0,787932585;NA;1110025L11Rik;;NA;non_ZGA
24,83215389;-0,132503815;0,202779177;0,504876451;0,569994206;1110032A03Rik;;NA;non_ZGA
0,043107629;-0,199121511;0,991804139;0,971950003;NA;1110032F04Rik;;NA;non_ZGA
263,8496917;-3,007279384;0,178310723;1,12E-64;4,23E-63;1110038F14Rik;DOWN;ENSMUSG00000063236;common_ZGA
30,42132215;0,357955005;0,221278667;0,095832254;0,132698951;1110051M20Rik;;NA;non_ZGA
0;NA;NA;NA;NA;1110057P08Rik;;NA;NA
161,948809;-0,420371145;0,138425671;0,002125171;0,003927458;1110059E24Rik;DOWN;NA;non_ZGA
71,4616321;-1,550984237;0,253073445;2,81E-10;9,62E-10;1110059G10Rik;DOWN;NA;non_ZGA
13,9892518;1,862105619;0,37656517;1,45E-07;4,09E-07;1110065P20Rik;UP;NA;non_ZGA
596,9115606;1,593128316;0,156652989;7,04E-25;5,38E-24;1190005I06Rik;UP;NA;non_ZGA
16,65111556;0,295944883;0,17137225;0,0794518;0,112017371;1190007I07Rik;;NA;non_ZGA
5,645273234;-0,435493228;0,368605929;0,198696812;0,254662025;1300017J02Rik;;NA;non_ZGA
1,008725664;-0,106113363;0,517042647;0,812479104;0,847789927;1500009C09Rik;;NA;NA
2,177565008;4,495618825;1,25243536;2,55E-05;5,87E-05;1500009L16Rik;UP;NA;non_ZGA
309,2443004;0,158809819;0,107513212;0,138512554;0,184739764;1500011B03Rik;;NA;NA
0,712410932;-2,335218218;0,962448903;0,009196945;0,015396597;1520401A03Rik;DOWN;NA;NA
371,4819778;-0,504580475;0,187725771;0,006166427;0,010615754;1600012H06Rik;DOWN;ENSMUSG00000050088;B6CASTF1_ZGA
4,569259805;-1,401404933;0,585791918;0,00486747;0,008524769;1600014C10Rik;DOWN;NA;non_ZGA
0,091988406;0,372568454;1,096295209;0,743812504;NA;1600014C23Rik;;NA;non_ZGA
26,51906237;1,822500411;0,230151619;5,19E-16;2,50E-15;1600029O15Rik;UP;NA;NA
2,333222301;-2,831928172;0,403660915;1,60E-13;6,69E-13;1700001C19Rik;DOWN;NA;non_ZGA
0,035342039;0,243007846;1,0347125;0,873755335;NA;1700001F09Rik;;NA;non_ZGA
0,16822943;-0,014593335;0,913508949;0,898057482;NA;1700001J03Rik;;NA;non_ZGA
0,207251489;0,359699231;0,76497669;0,652623432;NA;1700001J11Rik;;NA;NA
0,627435475;-0,063838492;0,768505669;0,919259197;0,936251617;1700001K19Rik;;NA;non_ZGA
21,79150973;1,26829863;0,217106506;2,07E-09;6,67E-09;1700001L19Rik;UP;NA;non_ZGA
3,596348653;-5,166111388;0,498344321;3,10E-30;3,06E-29;1700001O22Rik;DOWN;NA;non_ZGA
4,167415856;0,906878648;0,365356066;0,007270561;0,012373706;1700001P01Rik;UP;NA;non_ZGA
4,591914522;-0,766407142;0,622918555;0,130847115;0,175452964;1700003E16Rik;;NA;non_ZGA
0,035839932;0,041174217;0,962919962;0,910372591;NA;1700003F12Rik;;NA;non_ZGA
0;NA;NA;NA;NA;1700003H04Rik;;NA;NA
0,005005503;-0,15987491;0,998772836;0,926093391;NA;1700003N22Rik;;NA;NA
0,005665169;-0,166179083;1,00004689;0,926093391;NA;1700006A11Rik;;NA;non_ZGA
3,110936407;0,856497755;0,339183948;0,006786563;0,011604642;1700007E05Rik;UP;NA;NA
1,980176853;-0,186366311;0,588791742;0,697906763;0,748498236;1700007K13Rik;;NA;non_ZGA
1,091943097;1,96433536;0,783689862;0,001292605;0,002459374;1700008O03Rik;UP;NA;non_ZGA
0;NA;NA;NA;NA;1700008P02Rik;;NA;non_ZGA
0,009200294;0,160285818;1,004292781;0,902562873;NA;1700009N14Rik;;NA;non_ZGA
1,027238067;-0,423831448;0,374898751;0,222965891;0,281920167;1700010B08Rik;;NA;non_ZGA
24,63603831;1,30605172;0,209649894;1,82E-10;6,28E-10;1700010I14Rik;UP;NA;non_ZGA
1,61733346;-1,060553863;0,44008414;0,00685231;0,011709554;1700010N08Rik;DOWN;NA;NA
0,069649808;0,011786588;0,958631115;0,995066676;NA;1700011L22Rik;;NA;non_ZGA
1,496342433;1,97414306;1,165166334;0,010344915;0,01718618;1700011M02Rik;UP;NA;NA
0,962713149;0,465623978;0,715131206;0,381218877;0,448825868;1700012A03Rik;;NA;non_ZGA
0,36060493;-0,816215767;0,997078454;0,378437549;0,446120292;1700012B07Rik;;NA;non_ZGA
0,050492648;0,051887868;0,963280502;0,901395677;NA;1700012B09Rik;;NA;non_ZGA
0,762226248;2,294761707;0,899337339;0,002352914;0,004322494;1700012P22Rik;UP;NA;non_ZGA
0,275762437;0,311706394;0,795126422;0,614676559;NA;1700013F07Rik;;NA;non_ZGA
0;NA;NA;NA;NA;1700013G24Rik;;NA;non_ZGA
180,0190569;-2,969614091;0,666175213;1,13E-06;2,95E-06;1700013H16Rik;DOWN;NA;common_ZGA
0,122053755;0,303389088;0,96942209;0,771688846;NA;1700014B07Rik;;NA;NA
5,580090806;0,950605731;0,782186283;0,086519061;0,120910076;1700014D04Rik;;NA;NA
0,045472923;-0,124767149;0,968972147;0,94623423;NA;1700015G11Rik;;NA;non_ZGA
0,070959913;-0,052266364;0,955936226;0,933021341;NA;1700016C15Rik;;NA;non_ZGA
2,831207052;2,201179322;0,41336354;3,99E-09;1,26E-08;1700016D06Rik;UP;NA;non_ZGA
86,04830568;1,755065747;0,191943925;1,42E-20;8,72E-20;1700016H13Rik;UP;NA;non_ZGA
2,212408554;0,265321615;0,615026268;0,584263355;0,646074134;1700016K19Rik;;NA;non_ZGA
242,4921681;-0,933788434;0,156634343;1,51E-09;4,90E-09;1700017B05Rik;DOWN;ENSMUSG00000032300;B6CASTF1_ZGA
