gene_id;set
1700013H16Rik;#1
2210016L21Rik;#1
2610318N02Rik;#1
A530032D15Rik;#2
Abcb5;#1
Acer1;#1
Acsl4;#1
Actn2;#1
Adi1;#2
Adsl;#1
Aimp2;#3
Ak6;#3
Ankrd10;#2
Aqp11;#1
Arg1;#1
Atm;#1
Atp5g1;#3
Atp5o;#2
B020004J07Rik;#2
BC028528;#2
Bex6;#2
Blvrb;#1
Bzw1;#3
C1d;#2
C1qbp;#3
C1qtnf4;#1
Cacybp;#2
Calcoco2;#1
Calm3;#1
Casp3;#1
Cbwd1;#1
Ccdc124;#3
Ccdc36;#1
Ccnb1ip1;#2
Ccs;#1
Cdc5l;#2
Cdk2ap1;#3
Cdkn3;#1
Cggbp1;#2
Chchd2;#3
Chek2;#1
Chrac1;#1
Cited1;#3
Clp1;#2
Clpp;#2
Coa6;#2
Cst7;#2
Cstf1;#2
Ctsa;#2
Ctsb;#2
Ctsc;#3
Ctsl;#3
Ctsz;#2
Cul3;#2
Cxadr;#2
D030056L22Rik;#1
Dcdc2c;#3
Dck;#1
Dgke;#1
Dis3;#1
Dkkl1;#2
Dnajb14;#2
Dppa4;#3
Eci1;#2
Edf1;#3
Eif1a;#1
Eif3g;#3
Eif4ebp1;#2
Elp6;#1
Emc4;#3
Emg1;#3
Epcam;#1
Esf1;#1
Exosc5;#1
Fam169b;#1
Fbxo15;#3
Fbxo17;#1
Fcgr3;#3
Folr1;#2
Gcsh;#3
Gla;#2
Glul;#3
Gm11544;#2
Gm12789;#2
Gm2022;#2
Gm3286;#3
Gm8300;#2
Gnl3l;#1
Gpn3;#2
Gskip;#1
Guca1a;#3
Haus2;#1
Hccs;#1
Hdac1;#2
Herc4;#1
Hexb;#2
Hmox2;#2
Hormad1;#2
Ifi35;#2
Ikbip;#1
Impdh2;#3
Ino80c;#1
Isg20;#1
Itpa;#2
Kcnk6;#1
Klhl10;#2
Knop1;#1
L2hgdh;#1
Larp1b;#2
Lbhd1;#1
Lctl;#1
Ldlrad2;#1
Lgals1;#2
Lst1;#2
Mak16;#2
Map1lc3b;#3
Mdh2;#3
Med29;#3
Mettl2;#1
Mfap5;#1
Mpc2;#3
Mrpl20;#3
Mrpl49;#1
Mrps6;#3
Myg1;#1
Nhp2;#3
Nme2;#3
Nmnat1;#2
Nob1;#2
Nol11;#1
Nop16;#3
Npl;#2
Ntmt1;#2
Nucb2;#1
Nudt22;#2
Obox3;#3
Obox6;#3
Ovol2;#1
Pabpn1;#3
Pak2;#1
Pcgf5;#2
Pdxk;#2
Pemt;#3
Phkg2;#2
Pin1;#1
Pip5k1a;#1
Pitpnb;#1
Pla2g1b;#1
Polr1c;#3
Polr1e;#2
Polr2h;#3
Pop5;#2
Ppat;#2
Ppcs;#1
Ppia;#3
Ppm1a;#3
Pqbp1;#3
Pramel4;#2
Prps1;#3
Psat1;#2
Psmb1;#3
Psmb5;#2
Psme1;#1
Pttg1ip;#2
Pwp1;#2
Rab20;#3
Rab5a;#1
Rabgef1;#1
Ranbp2;#1
Rdm1;#2
Renbp;#2
Rgcc;#2
Rilpl2;#1
Rnf11;#2
Rnf7;#3
Rpf2;#3
Rpl13;#3
Rpl18;#3
Rpl19;#3
Rpl23a;#3
Rpl24;#3
Rpl26;#3
Rpl30;#3
Rpl37a;#3
Rpl38;#3
Rpl39;#3
Rpl7;#3
Rpl9;#3
Rplp0;#3
Rps17;#3
Rps19;#3
Rps25;#3
Rps3;#2
Rps3a1;#3
Rps5;#3
Rrp15;#2
Rwdd4a;#1
Sat1;#3
Set;#3
Sike1;#1
Slc12a2;#1
Slc19a3;#2
Snrpa;#2
Snrpb;#2
Snrpc;#3
Snrpd2;#3
Spic;#3
Spink2;#1
Stk19;#1
Stmn3;#2
Syap1;#1
Syngr1;#1
Tex101;#1
Timd2;#3
Timm10;#3
Tktl1;#2
Tma16;#3
Tmed6;#2
Tmem37;#1
Tmem41b;#3
Tmppe;#1
Tmsb15b1;#2
Tomm20;#2
Tomm5;#3
Trim43a;#3
Trim43b;#3
Trim43c;#3
Tsen15;#1
Tsx;#1
Uap1;#2
Ugdh;#1
Usmg5;#3
Wdr74;#2
Yif1a;#1
Zc3hc1;#2
Zfp1;#1
Zfp296;#2
Znhit3;#3
Znrd1;#3
Zscan5b;#2
Zyg11b;#1
