chr;start;end;length;abs_summit;pileup;LOG10(pvalue);fold_enrichment;LOG10(qvalue);name
chr7;50987320;50992646;5327;50990713;4563,99;10444,01562;472,07742;10436,97461;mDUX-rep1-peak.17646
chr7;51161810;51163371;1562;51162600;3179,85;7110,07764;406,6904;7103,74463;mDUX-rep1-peak.17650
chr14;19415842;19419342;3501;19418839;99601,69;5667,66504;1,74947;5661,62793;mDUX-rep1-peak.6411
chr13;119905759;119908845;3087;119907498;2458,32;5224,52295;314,43869;5218,54053;mDUX-rep1-peak.5793
chr15;5746146;5747608;1463;5746742;2369,52;4997,65967;303,08463;4991,7085;mDUX-rep1-peak.7319
chr9;46446133;46447944;1812;46447069;2446,37;4613,00928;191,10345;4607,11914;mDUX-rep1-peak.19755
chr7;11003956;11006716;2761;11005560;2185,93;4533,30615;279,6123;4527,42773;mDUX-rep1-peak.17276
chr7;11396142;11399077;2936;11397752;2068,95;4241,50244;264,65552;4235,67773;mDUX-rep1-peak.17286
chr7;11512534;11515452;2919;11514124;2018,57;4117,66357;258,21426;4111,87061;mDUX-rep1-peak.17291
chr14;5903148;5906526;3379;5904326;2924,54;3759,05151;50,44033;3753,35913;mDUX-rep1-peak.6091
chr3;93817365;93822530;5166;93819971;1846,09;3645,23218;223,4156;3639,56665;mDUX-rep1-peak.12640
chr7;114336915;114339719;2805;114338435;1811,08;3610,86353;231,68509;3605,20728;mDUX-rep1-peak.18107
chr13;119941119;119943389;2271;119941845;1877,68;3424,67969;164,00543;3419,07007;mDUX-rep1-peak.5800
chr7;83415159;83419950;4792;83416792;1708,61;3362,44531;218,58426;3356,84839;mDUX-rep1-peak.17878
chr12;80924187;80926755;2569;80925450;1834,99;3287,69263;152,99901;3282,11475;mDUX-rep1-peak.4210
chr3;97538998;97540858;1861;97540218;1659,94;3245,2019;212,36136;3239,6499;mDUX-rep1-peak.12732
chr13;120126032;120128408;2377;120127664;1757,29;3233,77539;168,49881;3228,22876;mDUX-rep1-peak.5805
chr7;83408472;83410669;2198;83409723;1554,92;2996,1062;198,933;2990,62378;mDUX-rep1-peak.17876
chr7;11309624;11312160;2537;11310765;1525,88;2927,84229;195,2211;2922,37402;mDUX-rep1-peak.17285
chr7;16874261;16875266;1006;16874842;2004,06;2901,0542;72,18925;2895,59253;mDUX-rep1-peak.17401
chr8;8938036;8940128;2093;8938789;1460,99;2759,38208;182,74858;2753,96045;mDUX-rep1-peak.18404
chr13;120158834;120161778;2945;120159869;1404,63;2645,65234;179,71844;2640,26221;mDUX-rep1-peak.5810
chr9;43930495;43931762;1268;43931039;1598,46;2623,03369;109,42487;2617,6499;mDUX-rep1-peak.19735
chr7;10798410;10800305;1896;10799162;1310,71;2429,53638;167,70935;2424,20386;mDUX-rep1-peak.17270
chr5;134528126;134529221;1096;134528665;1832,43;2394,90332;52,38361;2389,57861;mDUX-rep1-peak.15871
chr9;49053105;49055090;1986;49054339;1289,36;2381,64771;164,98001;2376,32544;mDUX-rep1-peak.19783
chr9;3019872;3027890;8019;3025533;59157,66;2359,2793;1,58615;2353,96191;mDUX-rep1-peak.19401
chr10;58225271;58225848;578;58225538;4132,78;2318,89014;8,80586;2313,58203;mDUX-rep1-peak.1921
chr1;153376318;153377437;1120;153376970;1240,69;2270,48901;158,75711;2265,19189;mDUX-rep1-peak.1121
chr1;13678566;13679862;1297;13679168;1212,51;2207,34497;155,15439;2202,06567;mDUX-rep1-peak.103
chr4;146974878;146977895;3018;146976276;1255,2;2169,65845;128,88766;2164,39233;mDUX-rep1-peak.14498
chr19;53057606;53059164;1559;53058460;1383,29;2127,03906;86,51785;2121,78271;mDUX-rep1-peak.10419
