chr;start;end;length;abs_summit;pileup;LOG10(pvalue);fold_enrichment;LOG10(qvalue);name
chr7;50987993;50992514;4522;50990713;5295,64;12906,18652;650,6925;12896,75098;mDUX-rep2-peak.25310
chr13;119905660;119908273;2614;119907471;3229,21;7426,92236;462,48694;7419,83105;mDUX-rep2-peak.8458
chr15;5746196;5747307;1112;5746748;3034,62;6896,74121;434,62671;6889,79395;mDUX-rep2-peak.10607
chr14;5903166;5904734;1569;5904327;4436,6;6818,57471;90,56332;6811,66113;mDUX-rep2-peak.8903
chr7;51161963;51163271;1309;51162602;2764,1;6171,71387;395,8942;6164,99756;mDUX-rep2-peak.25314
chr7;11396731;11398244;1514;11397753;2153,76;4575,2998;308,50824;4568,88037;mDUX-rep2-peak.24741
chr7;11513055;11514790;1736;11514125;2133,82;4524,21338;305,6543;4517,80127;mDUX-rep2-peak.24748
chr7;11004472;11006213;1742;11005559;2127,18;4508,90332;304,70294;4502,49951;mDUX-rep2-peak.24712
chr7;83414993;83419638;4646;83416790;2004,73;4196,6958;287,17142;4190,41357;mDUX-rep2-peak.25624
chr13;120159411;120160666;1256;120159894;1942,08;4040,55444;278,20178;4034,33032;mDUX-rep2-peak.8484
chr9;46446454;46447747;1294;46447069;2038,9;3854,52515;190,23604;3848,36328;mDUX-rep2-peak.28331
chr13;119941408;119942383;976;119941844;1925,95;3694,76025;200,51459;3688,63623;mDUX-rep2-peak.8465
chr13;120126057;120128107;2051;120127664;1857,6;3617,97241;211,92723;3611,86987;mDUX-rep2-peak.8473
chr7;114337795;114339302;1508;114338435;1715,22;3476,42627;245,72083;3470,35645;mDUX-rep2-peak.25958
chr8;8938351;8939691;1341;8938789;1682;3393,01416;240,9642;3386,97705;mDUX-rep2-peak.26401
chr5;26031501;26033346;1846;26032197;1630,74;3268,45776;233,62541;3262,46118;mDUX-rep2-peak.21557
chr7;11310332;11311867;1536;11310767;1627,89;3261,15259;233,21771;3255,15894;mDUX-rep2-peak.24737
chr7;83408587;83410594;2008;83409716;1562,4;3103,46387;223,84036;3097,53589;mDUX-rep2-peak.25621
chr12;80924729;80926541;1813;80925433;1727,56;3051,28174;144,04669;3045,36914;mDUX-rep2-peak.6237
chr13;66047548;66048376;829;66047960;1474,12;2891,85693;211,20134;2885,98779;mDUX-rep2-peak.7762
chr7;16874377;16875250;874;16874841;1875,64;2817,22144;81,41592;2811,37183;mDUX-rep2-peak.24922
chr15;102596495;102597397;903;102596955;1439;2808,32153;206,17291;2802,47388;mDUX-rep2-peak.11577
chr13;65796319;65797302;984;65796730;1422,86;2767,87988;203,86255;2762,04541;mDUX-rep2-peak.7730
chr2;64730248;64730955;708;64730560;1421,92;2765,50342;203,72664;2759,67017;mDUX-rep2-peak.15903
chr15;24310069;24311043;975;24310442;1404,83;2725,15552;201,28038;2719,34033;mDUX-rep2-peak.10783
chr15;102601380;102604188;2809;102602862;1377,3;2661,25659;197,33919;2655,46509;mDUX-rep2-peak.11579
chr5;134528262;134529065;804;134528665;1888,93;2648,93018;65,16986;2643,1438;mDUX-rep2-peak.22692
chr13;65682232;65683961;1730;65683529;1473,17;2640,89331;149,79904;2635,10889;mDUX-rep2-peak.7723
chr10;58225274;58225833;560;58225538;4119,57;2618,11621;10,65379;2612,34106;mDUX-rep2-peak.2803
chr3;97539652;97540681;1030;97540219;1353,57;2604,65137;193,94159;2598,88135;mDUX-rep2-peak.18366
chr1;13678758;13679589;832;13679169;1308,96;2499,01538;187,55414;2493,2832;mDUX-rep2-peak.140
chr1;85105942;85106990;1049;85106458;1458,93;2470,08521;121,66119;2464,36426;mDUX-rep2-peak.942
chr15;12656204;12657602;1399;12657153;1256,75;2377,78516;180,07944;2372,09717;mDUX-rep2-peak.10704
chr19;42135326;42137331;2006;42136433;1240,62;2331,29077;175,12216;2325,62012;mDUX-rep2-peak.14984
chr1;85182756;85183941;1186;85183404;1242,51;2317,70044;170,34447;2312,03516;mDUX-rep2-peak.950
chr1;134348377;134349266;890;134348761;1235,87;2298,09351;168,46501;2292,43506;mDUX-rep2-peak.1407
chr7;11165845;11167104;1260;11166266;1219,73;2290,72241;174,3905;2285,06812;mDUX-rep2-peak.24726
chr6;42009385;42010172;788;42009700;1215,94;2282,85669;174,23558;2277,20605;mDUX-rep2-peak.23362
chr1_GL456210_random;2757;4652;1896;4035;1229,23;2261,96484;161,55293;2256,3269;mDUX-rep2-peak.15190
